event_type,frame_num,elapsed_us,calculated_timestamp_ms,actual_timestamp_ms,data_size_bytes,fps,audio_samples_total,video_packets_received,audio_packets_received,sequence_errors
video,47,1505892,6387135,6387130,368640,59.826,38784,1418,1345,0
video,48,1507318,6387100,6387131,276480,59.826,38784,1423,1346,0
audio,0,1507616,6389563,6387132,768,59.826,38976,1423,1346,0
audio,0,1507730,6389579,6387132,768,59.826,39168,1428,1346,0
audio,0,1511292,6389595,6387135,768,59.826,39360,1438,1347,0
audio,0,1516000,6389611,6387140,768,59.826,39552,1457,1348,0
audio,0,1518420,6389627,6387142,768,59.826,39744,1466,1349,0
video,48,1521706,6387152,6387146,368640,59.826,39744,1474,1349,0
video,49,1523160,6387117,6387147,276480,59.826,39744,1479,1350,0
audio,0,1523425,6389643,6387147,768,59.826,39936,1484,1350,0
audio,0,1528021,6389659,6387152,768,59.826,40128,1500,1351,0
audio,0,1531617,6389675,6387156,768,59.826,40320,1513,1352,0
audio,0,1535206,6389691,6387159,768,59.826,40512,1526,1353,0
video,49,1538456,6387168,6387162,368640,59.826,40512,1534,1353,0
video,50,1539706,6387134,6387164,276480,59.826,40512,1539,1354,0
audio,0,1539917,6389707,6387164,768,59.826,40704,1539,1354,0
audio,0,1542365,6389723,6387166,768,59.826,40896,1551,1355,0
audio,0,1547005,6389739,6387171,768,59.826,41088,1568,1356,0
audio,0,1551632,6389755,6387176,768,59.826,41280,1587,1357,0
video,50,1554859,6387185,6387179,368640,59.826,41280,1595,1358,0
video,51,1556121,6387150,6387180,276480,59.826,41280,1600,1358,0
audio,0,1556307,6389771,6387180,768,59.826,41472,1600,1358,0
audio,0,1559708,6389787,6387184,768,59.826,41664,1614,1359,0
audio,0,1563201,6389803,6387187,768,59.826,41856,1628,1360,0
audio,0,1566761,6389819,6387191,768,59.826,42048,1642,1361,0
video,51,1571157,6387202,6387195,368640,59.826,42048,1651,1362,0
video,52,1572744,6387167,6387197,276480,59.826,42048,1660,1362,0
audio,0,1573000,6389835,6387197,768,59.826,42240,1660,1362,0
audio,0,1575343,6389851,6387199,768,59.826,42432,1669,1363,0
audio,0,1579918,6389867,6387204,768,59.826,42624,1689,1364,0
audio,0,1583501,6389883,6387208,768,59.826,42816,1702,1365,0
video,52,1588020,6387219,6387212,368640,59.826,42816,1715,1366,0
video,53,1589912,6387184,6387214,276480,59.826,42816,1720,1366,0
audio,0,1590210,6389899,6387214,768,59.826,43008,1720,1366,0
audio,0,1590360,6389915,6387214,768,59.826,43200,1723,1367,0
audio,0,1594915,6389931,6387219,768,59.826,43392,1739,1368,0
audio,0,1599602,6389947,6387224,768,59.826,43584,1757,1369,0
audio,0,1603065,6389963,6387227,768,59.826,43776,1771,1370,0
video,53,1606301,6387235,6387230,368640,59.826,43776,1779,1370,0
video,54,1607947,6387200,6387232,276480,59.826,43776,1785,1371,0
audio,0,1608168,6389979,6387232,768,59.826,43968,1788,1371,0
audio,0,1610700,6389995,6387235,768,59.826,44160,1797,1372,0
audio,0,1615348,6390011,6387239,768,59.826,44352,1816,1373,0
